"waggishly";"de manière espiègle";"C1";7;"Manner"
"warily";"prudemment";"B2";6;"Manner"
"warmly";"chaleureusement";"B1";8;"Manner"
"wastefully";"gaspilleur - de manière gaspilleuse";"C2";3;"Manner"
"weakly";"faiblement";"B2";5;"Manner"
"wearily";"lassement";"C1";4;"Manner"
"whimsically";"capricieusement";"C2";2;"Manner"
"wholly";"entièrement";"B1";7;"Degree"
"wickedly";"méchamment";"C1";3;"Manner"
"wildly";"sauvagement";"B2";6;"Manner"
"willingly";"volontiers";"A2";9;"Frequency"
"wisely";"sagement";"B1";8;"Manner"
"wistfully";"mélancoliquement";"C2";2;"Manner"
"wittily";"avec esprit - de manière spirituelle";"C1";4;"Manner"
"woefully";"tristement";"C2";3;"Manner"
"wonderfully";"merveilleusement";"B1";8;"Manner"
"worriedly";"inquiètement";"B2";5;"Manner"
"wrongly";"incorrectement";"A2";9;"Manner"
