lacerate;lacérer;B2;3;ACTION;REGULAR
lamb;agneau;B1;2;STATE;IRREGULAR
lament;lamentation;B2;4;ACTION;REGULAR
laminate;laminate-laminer;C1;2;ACTION;REGULAR
lap;lap-lécher;B2;3;ACTION;IRREGULAR
lash;lash-fouetter;B1;4;ACTION;REGULAR
latch;verrou;A2;3;STATE;REGULAR
laugh;rire;A1;8;ACTION;IRREGULAR
launch;lancer;A2;7;ACTION;REGULAR
lead;mener;A2;8;ACTION;IRREGULAR
leak;fuite-fuir;B1;5;ACTION;IRREGULAR
leap;sauter;A2;6;ACTION;IRREGULAR
learn;apprendre;A1;10;ACTION;IRREGULAR
leave;partir-laisser;A1;10;ACTION;IRREGULAR
lecture;conférence-donner une conférence;B2;4;ACTION;REGULAR
legalize;légaliser;C1;3;ACTION;REGULAR
legitimize;légitimer;C2;2;ACTION;REGULAR
lend;prêter;A2;6;ACTION;IRREGULAR
let;laisser;A1;9;ACTION;IRREGULAR
level;niveau-niveler;B1;5;ACTION;REGULAR
leverage;levier-exploiter;C1;3;ACTION;REGULAR
liaise;liaison-assurer la liaison;C2;2;ACTION;REGULAR
libel;diffamation-diffamer;C2;1;ACTION;REGULAR
liberate;libérer;B2;4;ACTION;REGULAR
license;licence-licencier;B2;5;ACTION;REGULAR
lie;mentir;A2;7;ACTION;IRREGULAR
lift;soulever;A2;7;ACTION;REGULAR
light;allumer;A1;8;ACTION;REGULAR
like;aimer;A1;10;STATE;REGULAR
limit;limite-limiter;B1;6;ACTION;REGULAR
line;ligne-aligner;B1;6;ACTION;REGULAR
linger;traîner;B2;4;ACTION;REGULAR
link;lien-lien;B1;7;ACTION;REGULAR
listen;écouter;A1;10;ACTION;REGULAR
live;vivre;A1;10;STATE;IRREGULAR
load;charge-charger;A2;7;ACTION;REGULAR
locate;localiser;B1;6;ACTION;REGULAR
lock;verrouiller;A2;7;ACTION;REGULAR
log;log-enregistrer;B2;5;ACTION;REGULAR
long;long-désirer;B1;5;STATE;REGULAR
look;regarder;A1;10;ACTION;REGULAR
loop;boucle-boucler;B2;4;ACTION;REGULAR
lose;perdre;A1;9;ACTION;IRREGULAR
lounge;salon-se prélasser;B2;4;ACTION;REGULAR
love;amour-aimer;A1;10;STATE;REGULAR
lower;inférieur-abaisser;A2;6;ACTION;REGULAR
lubricate;lubrifier;C1;2;ACTION;REGULAR
lull;bercer;B2;3;ACTION;REGULAR
lure;leurre-attirer;B2;4;ACTION;REGULAR
lurk;lurk-épier;C1;2;ACTION;IRREGULAR
