jab;donner un coup;A2;4;ACTION;REGULAR
jade;épuiser;B1;2;ACTION;REGULAR
jail;emprisonner;A2;3;ACTION;REGULAR
jangle;faire du bruit;B2;2;ACTION;REGULAR
jargonize;utiliser du jargon-B2;2;ACTION;REGULAR
jazz;jazzer;C1;3;ACTION;REGULAR
jeer;railler;B1;3;ACTION;REGULAR
jerk;tirer brusquement;A2;4;ACTION;REGULAR
jettison;jeter;B2;3;ACTION;REGULAR
jib;refuser;C1;2;ACTION;IRREGULAR
jibe;se moquer;B2;3;ACTION;REGULAR
jiggle;agiter;A2;5;ACTION;REGULAR
jigsaw;découper;B1;3;ACTION;REGULAR
jingle;sonner;A2;5;ACTION;REGULAR
jinx;porter malheur;C1;1;ACTION;REGULAR
jockey;manœuvrer;B2;3;ACTION;REGULAR
jog;jogging;A1;7;ACTION;REGULAR
joggle;secouer;B2;2;ACTION;REGULAR
join;rejoindre;A1;9;ACTION;REGULAR
jolt;secouer;A2;5;ACTION;REGULAR
josh;taquiner;B1;4;ACTION;REGULAR
jot;noter;B1;6;ACTION;REGULAR
jounce;secouer;B2;2;ACTION;REGULAR
joust;jouter;C2;1;ACTION;REGULAR
judder;trembler;C1;2;STATE;REGULAR
juggle;jongler;A2;5;ACTION;REGULAR
jumble;mélanger;B1;4;ACTION;REGULAR
jump;sauter;A1;8;ACTION;REGULAR
junk;jeter;A2;5;ACTION;REGULAR
justify;justifier;B1;7;ACTION;REGULAR
jut;faire saillie;C1;2;STATE;REGULAR
juxtapose;juxtaposer;C2;1;ACTION;REGULAR
