quack;canard - charlatan;B2;4;CONCRETE
quad;quadruplé;C1;3;CONCRETE
quadrangle;carré - quadrilatère;B2;3;CONCRETE
quadrant;quadrant;B2;3;CONCRETE
quadriceps;quadriceps;B1;5;CONCRETE
quadrille;quadrille;C1;2;CONCRETE
quadrillion;quadrillion;C2;1;ABSTRACT
quadruped;quadrupède;B2;4;CONCRETE
quadruple;quadruple;B1;5;ABSTRACT
quadruplet;quadruplet;B2;3;CONCRETE
quaff;boire goulûment;C1;2;ABSTRACT
quagmire;marécage - bourbier;B2;3;CONCRETE
quahaug;quahaug;C2;1;CONCRETE
quahog;quahog;C2;1;CONCRETE
quail;caille;A2;6;CONCRETE
quake;tremblement;B1;5;ABSTRACT
qualification;qualification;A2;7;ABSTRACT
qualifier;qualificatif;B1;6;ABSTRACT
quality;qualité;A1;10;ABSTRACT
quandary;dilemme - impasse;C1;2;ABSTRACT
quantifier;quantificateur;C2;1;ABSTRACT
quantity;quantité;A1;9;ABSTRACT
quantum;quantum;C2;1;CONCRETE
quarantine;quarantaine;B1;5;ABSTRACT
quark;quark;C2;1;CONCRETE
quarrel;querelle;B1;5;ABSTRACT
quarry;carrière;B2;4;CONCRETE
quart;quart;B1;5;CONCRETE
quarter;quartier - quart;A2;8;CONCRETE
quarterback;quart-arrière;B2;4;CONCRETE
quarterfinal;quart de finale;B1;6;ABSTRACT
quarterly;trimestriel;B2;4;ABSTRACT
quartet;quatuor;B2;4;CONCRETE
quartile;quartile;C2;1;ABSTRACT
quarto;in-quarto;C2;1;CONCRETE
quartz;quartz;B1;5;CONCRETE
quasar;quasar;C2;1;CONCRETE
quash;annuler - écraser;C1;2;ABSTRACT
quasi;quasi;C1;3;ABSTRACT
quaver;trémolo;C2;1;ABSTRACT
quay;quai;B1;6;CONCRETE
queasy;nauséeux - mal à l'aise;C1;2;ABSTRACT
queen;reine;A1;9;CONCRETE
queer;bizarre - queer;B2;4;ABSTRACT
quell;réprimer - apaiser;C1;2;ABSTRACT
quench;étancher;B2;3;ABSTRACT
query;question - requête;B1;6;ABSTRACT
quest;quête;B2;4;ABSTRACT
queue;file - queue;A2;7;CONCRETE
quibble;chicaner;C1;2;ABSTRACT
quiche;quiche;A2;7;CONCRETE
quick;rapide;A1;10;ABSTRACT
quicksand;sables mouvants;B2;3;CONCRETE
quid;livre sterling;C2;1;CONCRETE
quiet;calme;A1;9;ABSTRACT
quill;plume;B2;4;CONCRETE
quilt;couette - quilt;B1;5;CONCRETE
quince;coing;B2;3;CONCRETE
quinine;quinine;C1;2;CONCRETE
quintessence;quintessence;C2;1;ABSTRACT
quintet;quintette;B2;3;CONCRETE
quintillion;quintillion;C2;1;ABSTRACT
quintuplet;quintuplé;C1;2;CONCRETE
quip;plaisanterie;C1;3;ABSTRACT
quirk;bizarrerie;C1;3;ABSTRACT
quit;quitter;A2;7;ABSTRACT
quite;assez - tout à fait;A2;8;ABSTRACT
quiver;carquois - frémir;B2;3;CONCRETE
quixotic;quichottesque;C2;1;ABSTRACT
quiz;quiz;B1;6;CONCRETE
quorum;quorum;C1;2;ABSTRACT
quota;quota;B2;4;ABSTRACT
quotation;citation;B1;6;ABSTRACT
quote;citation;B1;6;ABSTRACT
quotient;quotient;B2;4;ABSTRACT
