gadget;gadget-objet;B1;7;CONCRETE
gale;tempête-vent;B2;4;CONCRETE
gallery;galerie;A2;6;CONCRETE
garage;garage;A1;8;CONCRETE
garden;jardin;A1;9;CONCRETE
gate;porte-barrière;A2;7;CONCRETE
gazebo;kiosque-pavillon;B2;3;CONCRETE
gazelle;gazelle;A2;5;CONCRETE
gazpacho;gazpacho-soupe;B2;2;CONCRETE
gel;gel;A2;6;CONCRETE
gelato;gelato-glacé;B1;5;CONCRETE
gem;gemme-pierre précieuse;B1;5;CONCRETE
gemstone;pierre précieuse;B2;4;CONCRETE
gene;gène;B1;7;ABSTRACT
general;général;A2;8;CONCRETE
genie;génie;B2;4;CONCRETE
genius;génie;B1;7;ABSTRACT
genre;genre;B1;7;ABSTRACT
gentleman;gentleman;A2;7;CONCRETE
geography;géographie;A2;8;ABSTRACT
geology;géologie;B1;6;ABSTRACT
geometry;géométrie;A2;8;ABSTRACT
geranium;géranium;B2;3;CONCRETE
gerbil;gerbille;B2;3;CONCRETE
germ;germe;B1;6;CONCRETE
ghost;fantôme;A2;7;CONCRETE
giant;géant;A2;7;CONCRETE
gift;cadeau;A1;9;CONCRETE
giggle;giggle-rire;B2;5;ABSTRACT
ginger;gingembre;A2;7;CONCRETE
gingerbread;pain d'épices;B1;5;CONCRETE
giraffe;girafe;A1;7;CONCRETE
girder;poutre;B2;4;CONCRETE
girl;fille;A1;10;CONCRETE
glacier;glacier;B1;6;CONCRETE
gladiator;gladiateur;B2;4;CONCRETE
gladiolus;glaiolus;B2;3;CONCRETE
glamour;glamour;B1;7;ABSTRACT
glass;verre;A1;9;CONCRETE
glassware;verrerie;B2;4;CONCRETE
glider;planeur;B1;5;CONCRETE
glitter;paillettes;B2;5;CONCRETE
globe;globe;A2;7;CONCRETE
glockenspiel;carillon;B2;3;CONCRETE
glove;gant;A1;8;CONCRETE
glow;lueur;B2;5;ABSTRACT
glue;colle;A2;7;CONCRETE
gnat;moustique;B2;4;CONCRETE
gnome;gnome;B2;4;CONCRETE
goal;but-objectif;A2;8;ABSTRACT
goat;chèvre;A1;7;CONCRETE
goblet;calice;B2;3;CONCRETE
goblin;gobelin;B2;4;CONCRETE
god;dieu;A2;8;CONCRETE
goddess;déesse;B1;6;CONCRETE
gold;or;A1;8;CONCRETE
goldfish;poisson rouge;A2;6;CONCRETE
golf;golf;A1;7;CONCRETE
gondola;gondole;B1;5;CONCRETE
gong;gong;B2;4;CONCRETE
good-bye;au revoir;A1;10;ABSTRACT
goose;oie;A2;6;CONCRETE
gopher;gaufre;B2;3;CONCRETE
gorilla;gorille;A2;6;CONCRETE
goshawk;autour;C1;2;CONCRETE
gosling;oison;B2;3;CONCRETE
government;gouvernement;A2;9;ABSTRACT
governor;gouverneur;B1;7;CONCRETE
gown;robe;A2;7;CONCRETE
grain;grain;A2;7;CONCRETE
gram;gramme;A2;8;CONCRETE
granddaughter;petite-fille;A2;7;CONCRETE
grandfather;grand-père;A1;9;CONCRETE
grandmother;grand-mère;A1;9;CONCRETE
granite;granit;B1;6;CONCRETE
grape;raisin;A1;8;CONCRETE
grapefruit;pamplemousse;A2;6;CONCRETE
grapevine;vigne;B1;6;CONCRETE
graph;graphique;A2;8;CONCRETE
grass;herbe;A1;8;CONCRETE
grasshopper;sauterelle;B1;5;CONCRETE
gravy;sauce;A2;7;CONCRETE
green;vert;A1;9;ABSTRACT
greengrocer;primeur;B1;6;CONCRETE
greenhouse;serre;B1;6;CONCRETE
grenade;grenade;B2;5;CONCRETE
griddle;grille;B2;4;CONCRETE
grief;chagrin;B1;7;ABSTRACT
grill;grill;A2;7;CONCRETE
grit;grit-gravier;B2;4;CONCRETE
grocery;épicerie;A2;8;CONCRETE
groom;marié;A2;7;CONCRETE
ground;sol;A1;9;CONCRETE
group;groupe;A1;9;ABSTRACT
grouper;mérou;B2;4;CONCRETE
grouse;tétras;C1;2;CONCRETE
grove;bosquet;B2;4;CONCRETE
growth;croissance;B1;8;ABSTRACT
guacamole;guacamole;B1;5;CONCRETE
guarantee;garantie;A2;8;ABSTRACT
guard;garde;A2;8;CONCRETE
guava;goyave;B1;5;CONCRETE
gudgeon;goujon;C1;2;CONCRETE
guest;invité;A1;9;CONCRETE
guide;guide;A1;8;CONCRETE
guilty;coupable;B1;7;ABSTRACT
guitar;guitare;A1;9;CONCRETE
gull;mouette;B1;6;CONCRETE
gum;gomme;A2;7;CONCRETE
gumdrop;gomme;B2;4;CONCRETE
gun;arme à feu;A2;8;CONCRETE
guppy;guppy;B2;3;CONCRETE
gurnard;grondin;C1;2;CONCRETE
gurney;brancard;B2;4;CONCRETE
gusset;gousset;C1;2;CONCRETE
gutter;gouttière;B1;6;CONCRETE
guy;gars;A1;9;CONCRETE
gym;gymnase;A1;8;CONCRETE
gymnast;gymnaste;A2;7;CONCRETE
gynecologist;gynécologue;B1;7;CONCRETE
gynecology;gynécologie;B2;6;ABSTRACT
gyro;gyro;B2;4;CONCRETE
gyroscope;gyroscope;B2;4;CONCRETE
