cake;gâteau;A1;10;CONCRETE
candle;bougie;A2;7;CONCRETE
candy;bonbon;A1;8;CONCRETE
cap;casquette;A2;6;CONCRETE
cape;cape;B1;3;CONCRETE
car;voiture;A1;10;CONCRETE
card;carte;A1;9;CONCRETE
carpet;tapis;A2;7;CONCRETE
cart;chariot;B1;5;CONCRETE
case;cas-affaire;B2;8;ABSTRACT
cash;argent liquide;A2;9;CONCRETE
castle;château;A2;7;CONCRETE
cat;chat;A1;10;CONCRETE
catfish;poisson-chat;B2;3;CONCRETE
cattle;bétail;B1;6;CONCRETE
cave;grotte;B1;5;CONCRETE
cell;cellule;B2;7;CONCRETE
cent;centime;A2;8;CONCRETE
center;centre;A1;10;ABSTRACT
chain;chaîne;A2;8;CONCRETE
chair;chaise;A1;10;CONCRETE
chalk;craie;B1;6;CONCRETE
champion;champion;A2;9;ABSTRACT
chance;chance-opportunité;B1;9;ABSTRACT
change;changement;A2;10;ABSTRACT
channel;canal-chaîne;B2;8;ABSTRACT
character;personnage-caractère;B1;9;ABSTRACT
charge;charge-frais;B2;8;ABSTRACT
charm;charme;B2;7;ABSTRACT
chart;graphique-tableau;B2;8;CONCRETE
check;vérifier-chèque;B1;9;ABSTRACT
cheese;fromage;A1;10;CONCRETE
chef;chef;A2;8;CONCRETE
cherry;cerise;A2;7;CONCRETE
chest;poitrine-coffre;B1;8;CONCRETE
chicken;poulet;A1;10;CONCRETE
child;enfant;A1;10;CONCRETE
chimney;cheminée;B1;6;CONCRETE
choice;choix;A2;10;ABSTRACT
church;église;A1;9;CONCRETE
circle;cercle;A2;8;CONCRETE
city;ville;A1;10;CONCRETE
claim;revendication-affirmation;B2;8;ABSTRACT
class;classe;A1;10;ABSTRACT
clay;argile;B2;5;CONCRETE
clock;horloge;A1;10;CONCRETE
cloud;nuage;A1;9;CONCRETE
club;club;A2;9;CONCRETE
coach;entraîneur-coach;B1;8;CONCRETE
coal;charbon;B1;7;CONCRETE
coat;manteau;A1;9;CONCRETE
coffee;café;A1;10;CONCRETE
coin;pièce de monnaie;A2;9;CONCRETE
cold;froid;A1;10;ABSTRACT
collection;collection;A2;9;ABSTRACT
college;collège;A2;9;CONCRETE
color;couleur;A1;10;ABSTRACT
comb;peigne;A2;7;CONCRETE
comfort;confort;B1;8;ABSTRACT
comic;bande dessinée;A2;8;CONCRETE
command;commande;B1;8;ABSTRACT
comment;commentaire;A2;10;ABSTRACT
committee;comité;B2;8;ABSTRACT
company;entreprise;A2;10;CONCRETE
comparison;comparaison;B2;8;ABSTRACT
competition;compétition;A2;9;ABSTRACT
complaint;plainte;B2;8;ABSTRACT
complex;complexe;B2;8;ABSTRACT
computer;ordinateur;A1;10;CONCRETE
condition;condition;B1;10;ABSTRACT
connection;connexion;B1;9;ABSTRACT
control;contrôle;A2;10;ABSTRACT
cook;cuisinier-cuisiner;A1;9;CONCRETE
copper;cuivre;B2;6;CONCRETE
copy;copie;A2;9;ABSTRACT
cord;cordon;B2;6;CONCRETE
cork;liège;B2;5;CONCRETE
corn;maïs;A2;8;CONCRETE
corner;coin;A1;9;CONCRETE
cost;coût;A2;10;ABSTRACT
cotton;coton;A2;8;CONCRETE
cough;toux;B1;7;ABSTRACT
country;pays;A1;10;CONCRETE
course;cours;A1;10;ABSTRACT
cover;couverture;A2;9;CONCRETE
cow;vache;A1;9;CONCRETE
crack;craquement-fissure;B2;6;CONCRETE
cream;crème;A1;9;CONCRETE
creator;créateur;B2;8;ABSTRACT
creature;créature;B1;8;CONCRETE
credit;crédit;B1;9;ABSTRACT
crime;crime;B1;9;ABSTRACT
crook;escroc;C1;4;CONCRETE
cross;croix;A2;8;CONCRETE
crowd;foule;A2;9;CONCRETE
crown;couronne;B1;7;CONCRETE
crush;écraser-coup de coeur;B2;7;ABSTRACT
cry;cri-pleurer;A2;9;ABSTRACT
cucumber;concombre;A2;7;CONCRETE
cup;tasse;A1;10;CONCRETE
curtain;rideau;A2;8;CONCRETE
curve;courbe;B2;7;CONCRETE
cushion;coussin;B1;7;CONCRETE
cut;coupe-coupure;A1;10;CONCRETE
cycle;cycle;B1;9;ABSTRACT
