ability,habileté-capacité,B1,6,ABSTRACT
absence,absence,A2,5,ABSTRACT
academy,académie,B2,4,CONCRETE
access,accès,A2,7,ABSTRACT
accident,accident,A2,6,CONCRETE
account,compte,A2,7,CONCRETE
achievement,réalisation-succès,B1,6,ABSTRACT
acid,acide,B2,3,CONCRETE
acknowledgment,reconnaissance-accusé,B2,5,ABSTRACT
acquisition,acquisition,C1,5,ABSTRACT
action,action,A1,8,ABSTRACT
activity,activité,A1,8,ABSTRACT
actor,acteur,A1,8,CONCRETE
actress,actrice,A1,8,CONCRETE
adaptation,adaptation,B2,5,ABSTRACT
addition,addition,A2,6,CONCRETE
address,adresse,A1,8,CONCRETE
administration,administration,B1,7,ABSTRACT
adventure,aventure,A2,6,ABSTRACT
advertisement,publicité,A2,7,CONCRETE
advice,conseil,A2,7,ABSTRACT
aeroplane,avion,A1,8,CONCRETE
affair,affaire,A2,6,ABSTRACT
afternoon,après-midi,A1,8,CONCRETE
age,âge,A1,8,ABSTRACT
agency,agence,A2,7,CONCRETE
agreement,accord,A2,7,ABSTRACT
aid,aide,A2,7,ABSTRACT
air,air,A1,8,CONCRETE
aircraft,avion,B1,6,CONCRETE
airport,aéroport,A1,8,CONCRETE
alarm,alarme,A2,6,CONCRETE
alcohol,alcool,A2,7,CONCRETE
algorithm,algorithme,C1,4,CONCRETE
alley,ruelle,B2,4,CONCRETE
alliance,alliance,B2,5,ABSTRACT
alloy,alliage,C1,3,CONCRETE
alternative,alternative,B1,6,ABSTRACT
ambassador,ambassadeur,B2,5,CONCRETE
ambition,ambition,B1,6,ABSTRACT
analysis,analyse,B1,7,ABSTRACT
analyst,analyste,B2,5,CONCRETE
anatomy,anatomie,B2,4,CONCRETE
ancestor,ancêtre,B1,5,CONCRETE
anchor,ancre,B2,4,CONCRETE
angel,ange,A2,6,CONCRETE
anger,colère,A2,7,ABSTRACT
angle,angle,A2,7,CONCRETE
animal,animal,A1,8,CONCRETE
ankle,cheville,A2,6,CONCRETE
announcement,annonce,A2,7,CONCRETE
answer,réponse,A1,8,ABSTRACT
ant,fourmi,A1,8,CONCRETE
antenna,antenne,B1,6,CONCRETE
anxiety,anxiété-B2,6,ABSTRACT
apartment,appartement,A1,8,CONCRETE
apology,excuse,A2,7,ABSTRACT
apparatus,appareil,B2,5,CONCRETE
appeal,appel,B1,6,ABSTRACT
apple,pomme,A1,8,CONCRETE
application,application,A2,7,CONCRETE
appointment,rendez-vous,A2,7,CONCRETE
approach,approche,B1,6,ABSTRACT
approval,approbation,B2,5,ABSTRACT
aquarium,aquarium,A2,6,CONCRETE
arch,arc,B2,5,CONCRETE
argument,argument,A2,7,ABSTRACT
arm,bras,A1,8,CONCRETE
army,armée,A2,7,CONCRETE
arrangement,arrangement,A2,7,ABSTRACT
art,art,A1,8,ABSTRACT
article,article,A1,8,CONCRETE
artist,artiste,A1,8,CONCRETE
aspect,aspect,A2,7,ABSTRACT
asphalt,asphalte,B2,4,CONCRETE
assault,assaut,B2,5,CONCRETE
assembly,assemblée,B1,6,CONCRETE
assessment,évaluation,B1,7,ABSTRACT
asset,actif,B2,5,CONCRETE
assignment,devoir,A2,7,CONCRETE
assistance,aide,A2,7,ABSTRACT
association,association,A2,7,CONCRETE
astronaut,astronaute,B1,6,CONCRETE
atmosphere,atmosphère,A2,7,CONCRETE
atom,atome,B1,6,CONCRETE
attack,attaque,A2,7,ABSTRACT
attempt,tentative,B1,6,ABSTRACT
attention,attention,A1,8,ABSTRACT
attitude,attitude,A2,7,ABSTRACT
attraction,attraction,A2,7,CONCRETE
auction,enchère,B2,5,CONCRETE
audience,audience,A2,7,CONCRETE
author,auteur,A2,7,CONCRETE
authority,autorité,A2,7,ABSTRACT
autumn,automne,A1,8,CONCRETE
availability,disponibilité,B1,6,ABSTRACT
average,moyenne,A2,7,ABSTRACT
award,récompense,A2,7,CONCRETE
awareness,conscience,B1,6,ABSTRACT
axis,axe,B1,6,CONCRETE
