tactful;diplomate - tactique;B2;6
tactical;tactique - stratégique;B2;7
tall;grand - haut;A1;9
tame;docile - apprivoisé;B1;3
tangible;tangible - palpable;C1;4
tantalizing;alléchant - tentant;C2;2
tardy;en retard - tardif;B1;5
tart;acide - aigre;B2;3
tasteful;de bon goût - élégant;B2;5
tasty;délicieux - savoureux;A2;8
tattered;déchiré - en lambeaux;C1;2
tearful;larmoyant - pleurnichard;B2;3
teasing;taquin - moqueur;B1;6
technical;technique - spécialisé;A2;8
tedious;ennuyeux - fastidieux;B1;7
teeny;minuscule - tout petit;B2;4
temperate;tempéré - modéré;C1;3
tempting;tentant - alléchant;B2;6
tenacious;ténace - persévérant;C1;4
tender;tendre - doux;A2;7
tense;tendu - nerveux;B1;7
terrible;terrible - affreux;A1;9
terrific;fantastique - formidable;B1;6
testy;irritable - grincheux;C1;3
thankful;reconnaissant - gratifiant;B1;6
theoretical;théorique - hypothétique;B2;7
therapeutic;thérapeutique - curatif;C1;4
thick;épais - dense;A2;8
thin;mince - fin;A1;9
thirsty;assoiffé - avide;A2;7
thorny;épineux - compliqué;C1;3
thoughtful;réfléchi - attentif;B1;7
threatening;menaçant - intimidant;B2;6
thrifty;économe - frugal;C1;4
thunderous;tonitruant - assourdissant;C2;2
tidy;ordonné - propre;A2;8
tight;serré - étroit;B1;7
timely;opportun - à propos;C1;4
timid;timide - craintif;A2;7
tiny;minuscule - tout petit;A1;9
tiresome;fatigant - ennuyeux;B2;6
toasty;grillé - chaud;C2;2
tolerant;tolérant - indulgent;B1;7
tormented;tourmenté - torturé;C1;4
torn;déchiré - fendu;B2;5
tough;dur - résistant;A2;8
towering;dominant - imposant;C1;3
tranquil;tranquille - paisible;B1;7
transient;transitoire - éphémère;C2;2
transparent;transparent - clair;A2;8
tricky;délicat - compliqué;B2;6
trivial;trivial - insignifiant;B2;5
tropical;tropical - exotique;A2;7
troubled;troublé - perturbé;B2;6
truculent;truculent - agressif;C2;2
true;vrai - réel;A1;10
trustworthy;digne de confiance - fiable;B1;7
trusty;fidèle - sûr;C2;3
truthful;véridique - sincère;B2;6
tumultuous;tumultueux - agité;C1;4
tuneful;mélodieux - harmonieux;C2;3
turbulent;turbulent - agité;B2;5
twisted;tordu - déformé;C1;3
typical;typique - caractéristique;A2;8
