"quaintly";"de manière pittoresque";"B2";5;"Manner"
"quakingly";"en tremblant";"C1";3;"Manner"
"quasi-judicially";"quasi-judiciairement";"C2";2;"Degree"
"quasi-legally";"quasi-légalement";"C2";2;"Degree"
"quasi-officially";"quasi-officiellement";"C2";2;"Degree"
"quasi-publicly";"quasi-publiquement";"C2";2;"Degree"
"quasi-romantically";"quasi-romantiquement";"C2";2;"Manner"
"quasi-satirically";"quasi-satiriquement";"C2";2;"Manner"
"quasi-scientifically";"quasi-scientifiquement";"C2";2;"Manner"
"quaveringly";"d'une voix tremblante";"C1";3;"Manner"
"quenchlessly";"inextinguiblement";"C2";1;"Degree"
"querulously";"d'un ton querelleur";"B2";4;"Manner"
"quick";"rapide";"A1";10;"Time"
"quicker";"plus rapide";"A1";10;"Degree"
"quickest";"le plus rapide";"A1";10;"Degree"
"quickly";"rapidement";"A1";10;"Time"
"quiescently";"quiescentement";"C2";1;"Manner"
"quietly";"tranquillement";"A2";8;"Manner"
"quintessentially";"par excellence";"C1";4;"Degree"
"quite";"assez";"A2";9;"Degree"
"quiveringly";"en tremblant";"C1";3;"Manner"
"quixotically";"de manière quichottesque";"C2";1;"Manner"
"quizzically";"d'un air interrogateur";"B2";5;"Manner"
