sack;sac;A1;1;CONCRETE
saddle;selle;A2;2;CONCRETE
safari;safari;B1;3;CONCRETE
sail;voile;A2;4;CONCRETE
sailboat;voilier;B1;5;CONCRETE
saint;saint-sainte;B2;6;ABSTRACT
sake;bien-être;C1;7;ABSTRACT
salad;salade;A1;8;CONCRETE
salmon;saumon;A2;9;CONCRETE
salsa;salsa;B2;10;CONCRETE
salt;sel;A1;1;CONCRETE
sample;échantillon;B1;2;CONCRETE
sanctuary;sanctuaire;C1;3;CONCRETE
sand;sable;A1;4;CONCRETE
sandal;sandale;A2;5;CONCRETE
sandalwood;santal;C2;6;CONCRETE
sandwich;sandwich;A1;7;CONCRETE
sapphire;saphir;B2;8;CONCRETE
satellite;satellite;B1;9;CONCRETE
satin;satin;C1;10;CONCRETE
sauce;sauce;A1;1;CONCRETE
sauna;sauna;B2;2;CONCRETE
saw;scie;A2;3;CONCRETE
saxophone;saxophone;B1;4;CONCRETE
scarecrow;épouvantail;C1;5;CONCRETE
scarf;écharpe;A1;6;CONCRETE
scarlet;écarlate;C2;7;ABSTRACT
scene;scène;A2;8;CONCRETE
scent;parfum;B1;9;ABSTRACT
schedule;horaire;B2;10;ABSTRACT
scheme;schéma;C1;1;ABSTRACT
scholar;érudit;C2;2;CONCRETE
school;école;A1;3;CONCRETE
science;science;A2;4;ABSTRACT
scissors;ciseaux;A1;5;CONCRETE
screwdriver;tournevis;B1;6;CONCRETE
sculpture;sculpture;B2;7;CONCRETE
sea;mer;A1;8;CONCRETE
seafood;fruits de mer;A2;9;CONCRETE
seagull;mouette;B1;10;CONCRETE
seashore;plage;A1;1;CONCRETE
season;saison;A1;2;ABSTRACT
secret;secret;A2;3;ABSTRACT
sector;secteur;B1;4;ABSTRACT
security;sécurité;B2;5;ABSTRACT
seed;graine;A2;6;CONCRETE
seminar;séminaire;C1;7;ABSTRACT
senator;sénateur;C2;8;CONCRETE
sensation;sensation;B1;9;ABSTRACT
serpent;serpent;A2;10;CONCRETE
servant;serviteur;B2;1;CONCRETE
session;session;B1;2;ABSTRACT
settlement;règlement;C1;3;ABSTRACT
shadow;ombre;A2;4;ABSTRACT
shampoo;shampoing;A1;5;CONCRETE
shark;requin;A2;6;CONCRETE
shed;cabane;B1;7;CONCRETE
sheep;mouton;A1;8;CONCRETE
shelf;étagère;A2;9;CONCRETE
shell;coquille;B1;10;CONCRETE
sheriff;shérif;B2;1;CONCRETE
shield;bouclier;C1;2;CONCRETE
ship;navire;A1;3;CONCRETE
shoe;chaussure;A1;4;CONCRETE
shrimp;crevette;A2;5;CONCRETE
sibling;frère-soeur;B1;6;CONCRETE
sickness;maladie;A2;7;ABSTRACT
signature;signature;B1;8;CONCRETE
silence;silence;B2;9;ABSTRACT
silk;soie;A2;10;CONCRETE
silver;argent;A1;1;CONCRETE
similarity;similitude;C1;2;ABSTRACT
singer;chanteur-chanteuse;A1;3;CONCRETE
skeleton;squelette;B1;4;CONCRETE
sketch;croquis;B2;5;CONCRETE
skull;crâne;C1;6;CONCRETE
sky;ciel;A1;7;CONCRETE
skyscraper;gratte-ciel;A2;8;CONCRETE
slavery;esclavage;C2;9;ABSTRACT
sleet;grésil;B1;10;CONCRETE
slogan;slogan;B2;1;ABSTRACT
smoke;fumée;A1;2;CONCRETE
snail;escargot;A2;3;CONCRETE
snake;serpent;A1;4;CONCRETE
snapshot;instantané;C1;5;CONCRETE
snow;neige;A1;6;CONCRETE
snowflake;flocon de neige;B1;7;CONCRETE
soap;savon;A1;8;CONCRETE
soccer;football;A2;9;CONCRETE
society;société;B1;10;ABSTRACT
sock;chaussette;A1;1;CONCRETE
sofa;canapé;A2;2;CONCRETE
soil;sol;B1;3;CONCRETE
solitude;solitude;C1;4;ABSTRACT
solution;solution;B2;5;ABSTRACT
son;fils;A1;6;CONCRETE
song;chanson;A1;7;ABSTRACT
sorrow;chagrin;C2;8;ABSTRACT
soul;âme;B1;9;ABSTRACT
sound;son;A1;10;ABSTRACT
soup;soupe;A1;1;CONCRETE
source;source;A2;2;ABSTRACT
space;espace;B1;3;ABSTRACT
spark;étincelle;C1;4;CONCRETE
species;espèce;B2;5;ABSTRACT
spectacle;spectacle;A2;6;CONCRETE
speech;discours;B1;7;ABSTRACT
speed;vitesse;A2;8;ABSTRACT
spice;épice;B1;9;CONCRETE
spider;araignée;A1;10;CONCRETE
spinach;épinards;A2;1;CONCRETE
spirit;esprit;B1;2;ABSTRACT
spite;rancune;C2;3;ABSTRACT
splash;éclaboussure;C1;4;CONCRETE
sponge;éponge;A2;5;CONCRETE
spoon;cuillère;A1;6;CONCRETE
spot;tache;A2;7;CONCRETE
spring;printemps;A1;8;ABSTRACT
squirrel;écureuil;B1;9;CONCRETE
stability;stabilité;C1;10;ABSTRACT
stadium;stade;A2;1;CONCRETE
staff;personnel;B1;2;CONCRETE
stage;scène;A1;3;CONCRETE
stair;escalier;A1;4;CONCRETE
stamp;timbre;A2;5;CONCRETE
stand;stand;B1;6;CONCRETE
star;étoile;A1;7;CONCRETE
state;état;A2;8;ABSTRACT
station;station;A1;9;CONCRETE
statue;statue;B1;10;CONCRETE
status;statut;B2;1;ABSTRACT
steak;steak;A1;2;CONCRETE
steam;vapeur;B1;3;CONCRETE
steel;acier;A2;4;CONCRETE
stem;tige;C1;5;CONCRETE
step;étape;B1;6;ABSTRACT
stew;ragoût;B2;7;CONCRETE
stick;bâton;A1;8;CONCRETE
stitch;point de suture;C1;9;CONCRETE
stock;stock;B1;10;CONCRETE
stomach;estomac;A2;1;CONCRETE
stone;pierre;A1;2;CONCRETE
stool;tabouret;B1;3;CONCRETE
store;magasin;A1;4;CONCRETE
storm;tempête;A2;5;CONCRETE
story;histoire;A1;6;ABSTRACT
stove;cuisinière;B1;7;CONCRETE
straw;paille;A2;8;CONCRETE
stream;courant;B2;9;CONCRETE
street;rue;A1;10;CONCRETE
stress;stress;A2;1;ABSTRACT
stretch;étirement;B1;2;CONCRETE
strike;grève;B2;3;ABSTRACT
string;chaîne;C1;4;CONCRETE
structure;structure;B1;5;ABSTRACT
struggle;lutte;B2;6;ABSTRACT
student;étudiant;A1;7;CONCRETE
studio;studio;A2;8;CONCRETE
study;étude;A1;9;ABSTRACT
stuff;trucs;B1;10;CONCRETE
style;style;A2;1;ABSTRACT
subject;sujet;A1;2;ABSTRACT
substance;substance;B2;3;CONCRETE
success;succès;A2;4;ABSTRACT
sugar;sucre;A1;5;CONCRETE
suggestion;suggestion;B1;6;ABSTRACT
suit;costume;A2;7;CONCRETE
summer;été;A1;8;ABSTRACT
sun;soleil;A1;9;CONCRETE
supermarket;supermarché;A1;10;CONCRETE
supply;fourniture;B1;1;CONCRETE
support;soutien;A2;2;ABSTRACT
surf;surf;B2;3;CONCRETE
surprise;surprise;A1;4;ABSTRACT
sushi;sushi;A2;5;CONCRETE
swamp;marais;B1;6;CONCRETE
swan;cygne;A2;7;CONCRETE
sweat;sueur;B1;8;CONCRETE
sweater;pull;A1;9;CONCRETE
swim;nage;A1;10;CONCRETE
swing;balançoire;A2;1;CONCRETE
system;système;A2;2;ABSTRACT
