"obviously;de toute évidence - évidemment;B2;7;Degree"
"occasionally;occasionnellement - parfois;B1;6;Frequency"
"often;souvent;A2;8;Frequency"
"only;seulement - uniquement;A1;9;Degree"
"openly;ouvertement;B2;5;Manner"
"originally;à l'origine - initialement;B1;6;Time"
"out;dehors - sorti;A2;8;Place"
"outdoors;à l'extérieur - dehors;A2;7;Place"
"outward;vers l'extérieur;B2;4;Direction"
"outwardly;extérieurement;C1;3;Manner"
"over;au-dessus - plus de;A2;8;Place"
"overbearingly;de manière autoritaire;C2;2;Manner"
"overboard;par-dessus bord;C1;3;Direction"
"overhead;au-dessus;B2;5;Place"
"overland;par voie terrestre;C1;3;Direction"
"overleaf;au verso;C2;1;Place"
"overlong;trop long;C1;3;Degree"
"overly;excessivement;B2;5;Degree"
"overmuch;trop;C1;3;Degree"
"overseas;à l'étranger - outre-mer;B1;6;Place"
