earn;gagner-earn;A2;4;ACTION;REGULAR
eat;manger-eat;A1;10;ACTION;IRREGULAR
educate;éduquer-educate;B2;6;ACTION;REGULAR
embrace;embrasser-embrace;B1;5;ACTION;REGULAR
emit;émettre-emit;C1;3;ACTION;IRREGULAR
emphasize;souligner-emphasize;B2;7;ACTION;REGULAR
enact;promulguer-enact;C2;2;ACTION;REGULAR
encourage;encourager-encourage;A2;6;ACTION;REGULAR
end;finir-end;A1;8;ACTION;REGULAR
engage;s'engager-engage;B1;6;ACTION;REGULAR
enhance;améliorer-enhance;C1;4;ACTION;REGULAR
enjoy;profiter-enjoy;A2;7;STATE;REGULAR
enlist;s'engager-enlist;B2;3;ACTION;REGULAR
enrich;enrichir-enrich;B2;5;ACTION;REGULAR
enroll;s'inscrire-enroll;B1;5;ACTION;REGULAR
ensure;assurer-ensure;B2;6;ACTION;REGULAR
enter;entrer-enter;A1;9;ACTION;REGULAR
entertain;divertir-entertain;B1;5;ACTION;REGULAR
envision;imaginer-envision;C1;3;STATE;REGULAR
envy;envier-envy;B2;4;STATE;REGULAR
equip;équiper-equip;B2;5;ACTION;REGULAR
erase;effacer-erase;A2;5;ACTION;REGULAR
escape;échapper-escape;A2;6;ACTION;IRREGULAR
establish;établir-establish;B1;7;ACTION;REGULAR
estimate;estimer-estimate;B2;6;ACTION;REGULAR
evaluate;évaluer-evaluate;B2;7;ACTION;REGULAR
evict;expulser-evict;C1;2;ACTION;REGULAR
evolve;évoluer-evolve;B2;6;STATE;REGULAR
examine;examiner-examine;B1;6;ACTION;REGULAR
exceed;dépasser-exceed;B2;5;ACTION;REGULAR
excel;exceller-excel;C1;4;ACTION;REGULAR
exchange;échanger-exchange;A2;7;ACTION;REGULAR
excite;exciter-excite;B1;5;ACTION;REGULAR
exclude;exclure-exclude;B2;5;ACTION;REGULAR
execute;exécuter-execute;B2;5;ACTION;REGULAR
exhale;expirer-exhale;C1;3;ACTION;REGULAR
exhibit;exposer-exhibit;B2;5;ACTION;REGULAR
exist;exister-exist;A2;8;STATE;REGULAR
expand;élargir-expand;B1;6;ACTION;REGULAR
expect;attendre-expect;A2;8;STATE;REGULAR
expel;expulser-expel;C1;3;ACTION;REGULAR
expend;dépenser-expend;C1;3;ACTION;REGULAR
experience;expérimenter-experience;B1;7;ACTION;REGULAR
explain;expliquer-explain;A2;9;ACTION;REGULAR
explore;explorer-explore;A2;7;ACTION;REGULAR
expose;exposer-expose;B1;6;ACTION;REGULAR
express;exprimer-express;A2;9;ACTION;REGULAR
extend;étendre-extend;B2;6;ACTION;REGULAR
extract;extraire-extract;B2;5;ACTION;REGULAR
