udder;pis - trayon;B1;3;CONCRETE
ulcer;ulcère;B2;4;CONCRETE
ultrasound;échographie;B2;6;CONCRETE
ultraviolet;ultraviolet;B1;5;ABSTRACT
umbrella;parapluie;A1;7;CONCRETE
underachievement;sous-performance;C1;4;ABSTRACT
underarm;sous le bras;B1;4;CONCRETE
underbelly;dessous;B2;3;CONCRETE
underbid;sous-enchère;C1;2;ABSTRACT
underbite;sous-morsure;C2;1;CONCRETE
underbody;sous-corps;C2;1;CONCRETE
underboss;sous-chef;C1;3;CONCRETE
underbrush;sous-bois;B2;3;CONCRETE
undercard;sous-carte;C2;1;ABSTRACT
undercarriage;train d'atterrissage;B2;3;CONCRETE
underclass;sous-classe;B2;4;ABSTRACT
underclothes;sous-vêtements;A2;6;CONCRETE
undercoat;sous-couche;B1;5;CONCRETE
undercroft;sous-sol;C2;2;CONCRETE
undercurrent;sous-courant;C1;3;ABSTRACT
undercut;sous-coupe;B2;3;CONCRETE
underdog;outsider;B2;5;ABSTRACT
underestimate;sous-estimation;B1;6;ABSTRACT
underflow;sous-écoulement;C2;1;ABSTRACT
undergarment;sous-vêtement;A2;6;CONCRETE
underglaze;sous-glaçure;C2;1;CONCRETE
underground;souterrain;A2;7;ABSTRACT
undergrowth;sous-bois;B2;3;CONCRETE
underhand;sous la main;C1;3;ABSTRACT
underlay;sous-couche;B2;4;CONCRETE
underlayer;sous-couche;C1;3;CONCRETE
underlease;sous-location;C2;2;ABSTRACT
underlet;sous-location;C2;2;ABSTRACT
underling;sous-fifre;C1;3;CONCRETE
underlip;lèvre inférieure;B2;3;CONCRETE
underload;sous-charge;C2;2;ABSTRACT
underminer;sapeur;C1;3;CONCRETE
undernutrition;sous-nutrition;B2;5;ABSTRACT
underpants;sous-vêtements;A2;6;CONCRETE
underpart;partie inférieure;B2;4;CONCRETE
underpass;souterrain;B2;5;CONCRETE
underpay;sous-payer;B2;5;ABSTRACT
underpin;soutenir;C1;4;ABSTRACT
underpinning;soutien;B2;5;ABSTRACT
underplant;sous-plant;C2;1;ABSTRACT
underplay;sous-jouer;C1;3;ABSTRACT
underplot;sous-intrigue;C2;2;ABSTRACT
underpopulated;sous-peuplé;B2;4;ABSTRACT
underpowered;sous-alimenté;C1;3;ABSTRACT
underprice;sous-évaluer;C1;4;ABSTRACT
underproduction;sous-production;B2;4;ABSTRACT
underproof;sous-preuve;C2;1;ABSTRACT
underprop;soutien;C2;2;CONCRETE
underquote;sous-cotation;C2;2;ABSTRACT
underrate;sous-estimer;B2;5;ABSTRACT
underrun;sous-course;C2;1;ABSTRACT
underscore;souligner;B2;5;ABSTRACT
undersell;sous-vendre;B2;5;ABSTRACT
undershirt;sous-vêtement;A2;6;CONCRETE
undershoot;sous-estimer;B2;4;ABSTRACT
underside;dessous;B1;5;CONCRETE
undersign;sous-signer;C2;2;ABSTRACT
undersize;sous-dimensionné;B2;4;ABSTRACT
underskirt;sous-jupe;B2;4;CONCRETE
undersleeve;sous-manche;C2;2;CONCRETE
underslung;sous-suspendu;C2;1;ABSTRACT
undersoil;sous-sol;C1;3;CONCRETE
undersold;sous-vendu;B2;4;ABSTRACT
underspend;sous-dépenser;C1;3;ABSTRACT
understaffed;sous-effectif;B2;5;ABSTRACT
understand;comprendre;A1;10;ABSTRACT
understate;sous-estimer;B2;5;ABSTRACT
understatement;sous-estimation;B2;5;ABSTRACT
understeer;sous-virage;C2;2;ABSTRACT
understory;sous-bois;C1;3;CONCRETE
understrap;sous-sangle;C2;1;CONCRETE
understrapper;sous-strappeur;C2;1;CONCRETE
understress;sous-stress;C2;2;ABSTRACT
understructure;sous-structure;C1;3;CONCRETE
understudy;doublure;B2;4;CONCRETE
undersurface;sous-surface;C1;3;CONCRETE
undertail;sous-queue;C2;1;CONCRETE
undertaker;entrepreneur de pompes funèbres;B2;4;CONCRETE
undertenant;sous-locataire;C2;2;CONCRETE
undertint;sous-teinte;C2;2;CONCRETE
undertone;sous-ton;B2;4;ABSTRACT
undertow;sous-courant;C1;3;ABSTRACT
undertune;sous-mélodie;C2;2;ABSTRACT
undervaluation;sous-évaluation;B2;5;ABSTRACT
undervest;sous-vêtement;A2;6;CONCRETE
underwater;sous l'eau;A2;7;ABSTRACT
underwear;sous-vêtements;A1;8;CONCRETE
underweight;sous-poids;B2;5;ABSTRACT
underwhelm;sous-estimer;C1;4;ABSTRACT
underwing;sous-aile;C2;2;CONCRETE
underwire;armature;B2;4;CONCRETE
