"yammeringly";"de manière bavarde";"C1";7;"Manner"
"yarely";"agilement";"C2";1;"Manner"
"yawningly";"de manière bâillante";"C2";2;"Manner"
"yearlong";"toute l'année";"B2";6;"Time"
"yearly";"annuellement";"B1";8;"Frequency"
"yearningly";"avec envie";"C1";4;"Degree"
"yellingly";"de manière criarde";"C2";3;"Manner"
"yeomanly";"vaillamment";"C2";1;"Manner"
"yesterday";"hier";"A1";10;"Time"
"yesternight";"hier soir";"B2";5;"Time"
"yesteryear";"l'année dernière";"B2";4;"Time"
"yet";"encore";"A2";10;"Frequency"
"yieldably";"de manière souple";"C2";2;"Manner"
"yieldingly";"de manière conciliante";"C2";3;"Manner"
"yobbishly";"de manière vulgaire";"C2";1;"Manner"
"yokelishly";"de manière rustre";"C2";1;"Manner"
"yonder";"là-bas";"B2";6;"Place"
"youthfully";"jeunessement";"C1";5;"Manner"
"yowlingly";"de manière hurlante";"C2";2;"Manner"
"yuppily";"de manière snob";"C2";1;"Manner"
