"salty";"salé";"A2";3
"sensational";"sensationnel - sensationnelle";"B2";5
"sensitive";"sensible";"B1";6
"sensual";"sensuel - sensuelle";"C1";4
"sentimental";"sentimental - sentimentale";"B2";5
"separate";"séparé - distinct";"A2";7
"sequential";"séquentiel - séquentielle";"C1";2
"serene";"serein - sereine";"B2";4
"serious";"sérieux - sérieuse";"A2";8
"shabby";"minable - usé";"B1";3
"shaky";"instable - tremblant";"B2";3
"shallow";"peu profond - superficiel";"B2";4
"sharp";"tranchant - aigu";"B1";6
"shiny";"brillant - luisant";"B1";5
"short";"court - courte";"A1";10
"sleek";"lisse - élégant";"B2";4
"slender";"mince - élancé";"B2";4
"slim";"mince";"A2";7
"sober";"sobre";"B1";6
"sociable";"sociable";"A2";8
"social";"social - sociale";"A2";9
"soft";"doux - douce";"A1";10
"soggy";"détrempé - mouillé";"B2";2
"solar";"solaire";"B1";5
"solid";"solide";"A2";8
"solitary";"solitaire";"B1";5
"sophisticated";"sophistiqué - raffiné";"B2";6
"sour";"acide - aigre";"A2";4
"spherical";"sphérique";"B2";3
"spicy";"épicé";"A2";6
"spiritual";"spirituel - spirituelle";"B2";5
"splendid";"splendide";"B1";4
"spontaneous";"spontané";"B1";6
"spooky";"effrayant - sinistre";"B2";3
"sporty";"sportif - sportive";"A2";7
"spotty";"tacheté - irrégulier";"B2";2
"spry";"vif - alerte";"C1";3
"stable";"stable";"B1";7
"stale";"rassis - périmé";"B2";3
"standard";"standard - normal";"A2";9
"stark";"cru - austère";"C1";3
"steady";"stable - régulier";"B1";6
"steep";"raide - abrupt";"B1";5
"stern";"sévère - austère";"B2";4
"sticky";"collant - gluante";"B1";5
"stiff";"rigide - raide";"B1";5
"stoic";"stoïque";"C1";3
"strange";"étrange";"A2";7
"strict";"strict - stricte";"B1";6
"strong";"fort - forte";"A1";10
"stunning";"éblouissant - superbe";"B2";5
"subtle";"subtil - subtile";"B2";5
"successful";"réussi - réussie";"A2";8
"sudden";"soudain";"B1";7
"sunny";"ensoleillé";"A2";8
"superior";"supérieur - supérieure";"B1";6
"supreme";"suprême";"B2";4
"suspicious";"suspect - suspecte";"B1";6
"sweet";"doux - sucré";"A1";10
"sympathetic";"sympathique";"A2";8
