oak;chêne;A2;6;CONCRETE
oasis;oasis;B1;4;CONCRETE
oat;avoine;A2;5;CONCRETE
oath;serment;B2;3;ABSTRACT
oatmeal;farine d'avoine;A2;5;CONCRETE
obedience;obéissance;B1;3;ABSTRACT
object;objet;A1;8;CONCRETE
objection;objection;B2;4;ABSTRACT
objective;objectif;B1;7;ABSTRACT
obligation;obligation;B1;6;ABSTRACT
oboe;hautbois;B2;2;CONCRETE
observation;observation;B1;7;ABSTRACT
observatory;observatoire;B2;3;CONCRETE
obsession;obsession;C1;4;ABSTRACT
obstacle;obstacle;B1;6;CONCRETE
occasion;occasion;A2;7;ABSTRACT
ocean;océan;A1;8;CONCRETE
octagon;octogone;B2;2;CONCRETE
octave;octave;C1;3;CONCRETE
october;octobre;A1;9;CONCRETE
octopus;poulpe;B1;4;CONCRETE
odds;cotes;C1;3;ABSTRACT
odor;odeur;A2;6;ABSTRACT
offence;offense;B2;5;ABSTRACT
offender;délinquant;B2;4;CONCRETE
offense;offense;B2;5;ABSTRACT
offer;offre;A2;8;ABSTRACT
office;bureau;A1;9;CONCRETE
officer;officier;A2;7;CONCRETE
official;officiel;A2;8;ABSTRACT
oil;huile;A1;9;CONCRETE
ointment;onguent;C1;2;CONCRETE
okra;gombo;C2;1;CONCRETE
oldie;vieille chanson;C1;2;ABSTRACT
olive;olive;A2;6;CONCRETE
omelet;omelette;A1;7;CONCRETE
omission;omission;C1;3;ABSTRACT
onion;oignon;A1;8;CONCRETE
opera;opéra;A2;7;CONCRETE
operation;opération;A2;8;ABSTRACT
opinion;opinion;A2;9;ABSTRACT
opponent;adversaire;B1;6;CONCRETE
opportunity;opportunité;B1;8;ABSTRACT
opposition;opposition;B2;6;ABSTRACT
optician;opticien;B2;4;CONCRETE
optimism;optimisme;C1;4;ABSTRACT
option;option;B1;7;ABSTRACT
orange;orange;A1;10;CONCRETE
orchard;verger;B2;3;CONCRETE
orchestra;orchestre;B1;6;CONCRETE
order;ordre;A1;9;ABSTRACT
ore;minerai;B2;3;CONCRETE
organ;organe;A2;7;CONCRETE
organization;organisation;A2;9;ABSTRACT
origin;origine;B1;7;ABSTRACT
ornament;ornement;B2;4;CONCRETE
ostrich;autruche;B1;4;CONCRETE
otter;loutre;B2;3;CONCRETE
ounce;once;B2;4;CONCRETE
outback;arrière-pays;C1;2;CONCRETE
outcome;résultat;B2;7;ABSTRACT
outfit;tenue;A2;7;CONCRETE
outlaw;hors-la-loi;B2;4;CONCRETE
outlet;sortie;B1;6;CONCRETE
outline;contour;B2;6;CONCRETE
outlook;perspective;C1;5;ABSTRACT
output;production;B2;7;ABSTRACT
outrage;outrage;C1;3;ABSTRACT
outsider;outsider;C1;4;CONCRETE
oval;ovale;A2;5;CONCRETE
oven;four;A1;8;CONCRETE
overcoat;manteau;A2;6;CONCRETE
overdose;overdose;C1;3;CONCRETE
overhead;au-dessus;B2;5;ABSTRACT
overlap;chevauchement;C1;4;ABSTRACT
overtime;heures supplémentaires;B2;6;ABSTRACT
owl;hibou;A2;5;CONCRETE
owner;propriétaire;A2;8;CONCRETE
ox;bœuf;A2;5;CONCRETE
oxygen;oxygène;B1;7;CONCRETE
oyster;huître;A2;6;CONCRETE
ozone;ozone;B2;5;CONCRETE
