package;paquet-colis;A2;6;CONCRETE
page;page;A1;7;CONCRETE
paint;peinture;A2;5;CONCRETE
pair;paire;A1;7;CONCRETE
palace;palais;B1;3;CONCRETE
palm;palmier;B1;2;CONCRETE
pan;poêle;A2;4;CONCRETE
panel;panneau;B1;4;CONCRETE
panic;panique;B2;3;ABSTRACT
paper;papier;A1;8;CONCRETE
parade;défilé-parade;B2;3;CONCRETE
parent;parent;A1;9;CONCRETE
park;parc;A1;7;CONCRETE
part;partie;A1;9;ABSTRACT
partner;partenaire;A2;7;CONCRETE
party;fête-partie;A1;8;ABSTRACT
passage;passage;B1;5;CONCRETE
passenger;passager;A2;6;CONCRETE
passion;passion;B1;6;ABSTRACT
past;passé;B1;7;ABSTRACT
path;chemin;A2;5;CONCRETE
patient;patient;A2;6;CONCRETE
peace;paix;B1;5;ABSTRACT
pear;poire;A1;4;CONCRETE
pen;stylo;A1;7;CONCRETE
pencil;crayon;A1;7;CONCRETE
people;gens-personnes;A1;10;CONCRETE
pepper;poivre;A2;4;CONCRETE
performance;performance;B2;6;ABSTRACT
permission;permission;B1;5;ABSTRACT
person;personne;A1;10;CONCRETE
pet;animal de compagnie;A2;5;CONCRETE
phone;téléphone;A1;9;CONCRETE
photo;photo;A1;8;CONCRETE
phrase;phrase;A1;8;ABSTRACT
physical;physique;B2;6;ABSTRACT
physics;physique;B2;4;ABSTRACT
piano;piano;A1;6;CONCRETE
picture;image-photo;A1;8;CONCRETE
piece;pièce;A1;8;CONCRETE
pillow;oreiller;A2;4;CONCRETE
pilot;pilote;B1;4;CONCRETE
pine;pin;B2;3;CONCRETE
pipe;tuyau-pipe;B2;3;CONCRETE
pizza;pizza;A1;7;CONCRETE
place;lieu-place;A1;10;CONCRETE
plan;plan;A2;8;ABSTRACT
plane;avion;A1;7;CONCRETE
planet;planète;A2;6;CONCRETE
plant;plante;A1;7;CONCRETE
plastic;plastique;A2;7;CONCRETE
plate;assiette;A1;7;CONCRETE
platform;plateforme;B2;5;CONCRETE
play;jeu;A1;8;ABSTRACT
player;joueur;A2;7;CONCRETE
pleasure;plaisir;B1;6;ABSTRACT
plot;intrigue-parcelle;B2;4;ABSTRACT
plum;prune;A2;3;CONCRETE
pocket;poche;A1;7;CONCRETE
poem;poème;B1;5;ABSTRACT
poet;poète;B2;4;CONCRETE
point;point;A1;9;ABSTRACT
police;police;A1;8;CONCRETE
policy;politique;B2;6;ABSTRACT
pollution;pollution;B1;6;ABSTRACT
pool;piscine;A1;6;CONCRETE
pop;pop;B2;5;ABSTRACT
population;population;B1;7;ABSTRACT
port;port;B1;5;CONCRETE
position;position;B1;7;ABSTRACT
possibility;possibilité;B1;7;ABSTRACT
post;poste;A2;7;CONCRETE
pot;pot;A2;5;CONCRETE
potato;pomme de terre;A1;6;CONCRETE
pound;livre;B1;6;CONCRETE
power;pouvoir;B1;7;ABSTRACT
practice;pratique;A2;8;ABSTRACT
presence;présence;B1;7;ABSTRACT
pressure;pression;B2;6;ABSTRACT
price;prix;A1;8;ABSTRACT
pride;fierté;B2;5;ABSTRACT
priest;prêtre;B2;4;CONCRETE
print;impression;B1;6;ABSTRACT
prison;prison;B1;5;CONCRETE
private;privé;B1;6;ABSTRACT
prize;prix;A2;6;CONCRETE
problem;problème;A1;9;ABSTRACT
process;processus;B2;7;ABSTRACT
product;produit;A2;8;CONCRETE
production;production;B1;7;ABSTRACT
profession;profession;B1;6;ABSTRACT
program;programme;A2;8;ABSTRACT
project;projet;A2;8;ABSTRACT
property;propriété;B2;6;ABSTRACT
proposal;proposition;B2;6;ABSTRACT
protection;protection;B1;6;ABSTRACT
protein;protéine;B2;5;CONCRETE
protest;protestation;B2;5;ABSTRACT
public;public;A2;8;ABSTRACT
pull;tirer;A2;6;ABSTRACT
pump;pompe;B2;4;CONCRETE
punch;coup de poing;B2;4;CONCRETE
purchase;achat;B1;7;ABSTRACT
purpose;but-objectif;B2;6;ABSTRACT
push;pousser;A2;6;ABSTRACT
pyramid;pyramide;B1;4;CONCRETE
