"calm";"calme";"A1";1
"candid";"candidat - sincère";"A2";2
"capable";"capable";"A2";3
"careful";"prudent - soigneux";"B1";4
"cautious";"prudent";"B1";5
"celestial";"céleste";"C1";6
"central";"central";"A1";7
"ceremonial";"cérémonial";"B2";8
"challenging";"difficile - stimulant";"B2";9
"chaotic";"chaotique";"C1";10
"charismatic";"charismatique";"B2";1
"charming";"charmant";"A2";2
"cheerful";"joyeux";"A1";3
"classic";"classique";"A2";4
"classy";"élégant";"B2";5
"clean";"propre";"A1";6
"clear";"clair";"A1";7
"clever";"intelligent";"A2";8
"clumsy";"maladroit";"B1";9
"coherent";"cohérent";"B2";10
"cold";"froid";"A1";1
"comfortable";"confortable";"A1";2
"comic";"comique";"A2";3
"common";"commun";"A1";4
"compassionate";"compatissant";"B2";5
"complex";"complexe";"B1";6
"complicated";"compliqué";"A2";7
"comprehensive";"complet - compréhensif";"B2";8
"concrete";"concret";"B1";9
"confident";"confiant";"A2";10
"confidential";"confidentiel";"B2";1
"conscientious";"consciencieux";"B2";2
"considerate";"prévenant";"B1";3
"consistent";"cohérent - constant";"B2";4
"constructive";"constructif";"B2";5
"contemporary";"contemporain";"B1";6
"continuous";"continu";"B1";7
"convenient";"pratique";"A2";8
"cool";"cool - frais";"A1";9
"cooperative";"coopératif";"B2";10
"cordial";"cordial";"B1";1
"correct";"correct";"A1";2
"cosmic";"cosmique";"C1";3
"courageous";"courageux";"A2";4
"cozy";"confortable - douillet";"B1";5
"crazy";"fou";"A1";6
"creative";"créatif";"A2";7
"critical";"critique";"B1";8
"crucial";"crucial";"B2";9
"cruel";"cruel";"A2";10
"cultural";"culturel";"B1";1
"cunning";"rusé";"B2";2
"curious";"curieux";"A1";3
"curvy";"courbé - sinueux";"B2";4
"cute";"mignon";"A1";5
"cynical";"cynique";"B2";6
