"habitually";"habituellement";"B1";7;"Manner"
"happily";"heureusement";"A2";8;"Manner"
"hastily";"hâtivement";"B2";5;"Manner"
"heartily";"chaleureusement";"C1";4;"Manner"
"heatedly";"avec véhémence";"C2";3;"Manner"
"heavily";"lourdement";"B1";6;"Degree"
"helpfully";"utilement";"B2";5;"Manner"
"helplessly";"impuissamment";"C1";3;"Manner"
"here";"ici";"A1";10;"Place"
"heroically";"héroïquement";"C2";2;"Manner"
"highly";"hautement";"B2";7;"Degree"
"honestly";"honnêtement";"A2";8;"Manner"
"horribly";"horriblement";"B1";6;"Degree"
"hospitably";"hospitalièrement";"C2";2;"Manner"
"however";"cependant";"B1";9;"Conjunctive"
"hugely";"énormément";"B2";5;"Degree"
"humbly";"humblement";"C1";4;"Manner"
"hungrily";"avidement";"B2";5;"Manner"
"hurriedly";"précipitamment";"B2";5;"Manner"
"hysterically";"hystériquement";"C2";3;"Manner"
