machine;machine;B1;7;CONCRETE
magic;magie;A2;6;ABSTRACT
magnet;aimant;B1;4;CONCRETE
mail;courrier;A2;7;CONCRETE
mainland;continent;B2;5;CONCRETE
majesty;majesté;C1;3;ABSTRACT
majority;majorité;B1;7;ABSTRACT
makeup;maquillage;A2;6;CONCRETE
malice;malice;C1;3;ABSTRACT
mall;centre-commercial;B1;7;CONCRETE
mammal;mammifère;B2;4;CONCRETE
management;gestion;B2;8;ABSTRACT
mandate;mandat;C1;4;ABSTRACT
mango;mangue;A2;5;CONCRETE
manhood;virilité;C2;2;ABSTRACT
manifestation;manifestation;B2;6;ABSTRACT
manor;manoir;C1;3;CONCRETE
mantle;manteau;C2;2;CONCRETE
manual;manuel;B1;7;CONCRETE
manufacturer;fabricant;B2;6;CONCRETE
map;carte;A1;8;CONCRETE
marathon;marathon;B1;5;CONCRETE
marble;marbre;B2;4;CONCRETE
march;mars-marche;A1;8;CONCRETE
margin;marge;B2;6;ABSTRACT
marina;marina;C1;3;CONCRETE
market;marché;A1;9;CONCRETE
marriage;mariage;A1;8;ABSTRACT
marsh;marais;C1;3;CONCRETE
mask;masque;A2;7;CONCRETE
mass;masse;B1;6;ABSTRACT
master;maitre;A2;7;ABSTRACT
match;match-allumette;A1;8;CONCRETE
material;matériel;A2;7;CONCRETE
mathematics;mathématiques;A1;9;ABSTRACT
matrix;matrice;C2;2;ABSTRACT
matter;matière;A2;8;ABSTRACT
meadow;prairie;B2;4;CONCRETE
meal;repas;A1;9;CONCRETE
mean;moyen;B1;7;ABSTRACT
measure;mesure;A2;8;ABSTRACT
meat;viande;A1;9;CONCRETE
mechanism;mécanisme;B2;6;ABSTRACT
medal;médaille;B1;5;CONCRETE
media;médias;B1;8;CONCRETE
medicine;médecine;A2;8;CONCRETE
medium;moyen;B2;6;ABSTRACT
meeting;réunion;A2;8;ABSTRACT
melody;mélodie;B1;6;ABSTRACT
melon;melon;A1;6;CONCRETE
member;membre;A1;9;CONCRETE
memory;mémoire;A2;8;ABSTRACT
menu;menu;A1;9;CONCRETE
merchant;marchand;B2;5;CONCRETE
merit;mérite;C1;4;ABSTRACT
message;message;A1;9;ABSTRACT
metal;métal;A2;7;CONCRETE
method;méthode;B1;8;ABSTRACT
metropolis;métropole;C1;4;CONCRETE
microscope;microscope;B2;4;CONCRETE
middle;milieu;A1;9;ABSTRACT
migration;migration;C1;5;ABSTRACT
mile;mile;B2;6;CONCRETE
milk;lait;A1;9;CONCRETE
mill;moulin;B2;5;CONCRETE
mind;esprit;A2;8;ABSTRACT
mine;mine;B1;6;CONCRETE
mineral;minéral;B2;5;CONCRETE
minister;ministre;B1;7;CONCRETE
minority;minorité;B2;6;ABSTRACT
minute;minute;A1;10;CONCRETE
miracle;miracle;B2;5;ABSTRACT
mirror;miroir;A1;8;CONCRETE
misery;misère;C1;4;ABSTRACT
mission;mission;B1;7;ABSTRACT
mist;brume;B2;5;CONCRETE
mix;mélange;A2;7;ABSTRACT
model;modèle;A1;9;CONCRETE
modem;modem;C1;3;CONCRETE
module;module;C1;4;CONCRETE
moment;moment;A1;10;ABSTRACT
money;argent;A1;10;ABSTRACT
monitor;moniteur;B2;6;CONCRETE
monkey;singe;A2;6;CONCRETE
month;mois;A1;10;CONCRETE
moon;lune;A1;8;CONCRETE
morning;matin;A1;10;CONCRETE
mortal;mortel;C1;4;ABSTRACT
motel;motel;B2;5;CONCRETE
mother;mère;A1;10;CONCRETE
motion;mouvement;B2;6;ABSTRACT
motor;moteur;B1;7;CONCRETE
mountain;montagne;A1;9;CONCRETE
mouse;souris;A1;8;CONCRETE
mouth;bouche;A1;9;CONCRETE
movement;mouvement;A2;8;ABSTRACT
movie;film;A1;10;CONCRETE
mud;boue;B1;6;CONCRETE
muffin;muffin;A2;6;CONCRETE
mug;tasse;A1;8;CONCRETE
multimedia;multimédia;B2;6;CONCRETE
murder;meurtre;B2;5;ABSTRACT
museum;musée;A1;9;CONCRETE
music;musique;A1;10;ABSTRACT
mystery;mystère;B1;7;ABSTRACT
myth;mythe;B2;6;ABSTRACT
