"tactfully";"avec tact";"B2";7;"Manner"
"tangibly";"tangiblement";"C1";3;"Degree"
"tearfully";"larmoyant - en pleurant";"B2";5;"Manner"
"technically";"techniquement";"B1";8;"Manner"
"temporarily";"temporairement";"A2";6;"Time"
"tenderly";"tendrement";"B1";6;"Manner"
"tensely";"tendu - nerveusement";"B2";4;"Manner"
"terribly";"terriblement";"A2";7;"Degree"
"thankfully";"heureusement";"B1";5;"Attitude"
"theoretically";"théoriquement";"B2";7;"Degree"
"thermally";"thermiquement";"C1";2;"Manner"
"thoroughly";"complètement - minutieusement";"B1";7;"Degree"
"thoughtfully";"pensivement";"B2";6;"Manner"
"threateningly";"menaçant";"C1";4;"Manner"
"tightly";"étroitement";"A2";7;"Degree"
"timely";"opportunément";"B2";6;"Time"
"tirelessly";"infatigablement";"B2";5;"Manner"
"today";"aujourd'hui";"A1";10;"Time"
"totally";"totalement";"A2";9;"Degree"
"tremendously";"énormément";"B1";8;"Degree"
