table;table-bureau;A1;10;CONCRETE
tadpole;têtard;B1;3;CONCRETE
tambourine;tambourin;A2;4;CONCRETE
tango;tango;B1;4;CONCRETE
tapestry;tapisserie;B2;3;CONCRETE
tarantula;tarantule;B2;2;CONCRETE
tarmac;tarmac;B2;3;CONCRETE
tarragon;estragon;C1;2;CONCRETE
tart;tarte;A2;6;CONCRETE
tassel;gland;C1;1;CONCRETE
tattoo;tatouage;B1;5;CONCRETE
tavern;taverne;B2;3;CONCRETE
taxi;taxi;A1;7;CONCRETE
taxidermist;taxidermiste;C2;1;CONCRETE
teacher;enseignant-professeur;A1;10;CONCRETE
teacup;tasse à thé;A2;6;CONCRETE
teakettle;bouilloire;B1;4;CONCRETE
team;équipe;A1;9;ABSTRACT
teammate;coéquipier;B1;7;CONCRETE
teapot;théière;A2;5;CONCRETE
teaspoon;cuillère à café;A2;6;CONCRETE
teddy;ours en peluche;A2;6;CONCRETE
teenager;adolescent;A2;8;CONCRETE
telegram;télégramme;C1;2;CONCRETE
telegraph;télégraphe;C1;2;CONCRETE
telephone;téléphone;A1;10;CONCRETE
telescope;télescope;B1;4;CONCRETE
television;télévision;A1;10;CONCRETE
temple;temple;A2;6;CONCRETE
tenant;locataire;B2;5;CONCRETE
tendon;tendon;C1;3;CONCRETE
tennis;tennis;A1;7;CONCRETE
tent;tente;A2;6;CONCRETE
terrace;terrasse;A2;7;CONCRETE
territory;territoire;B1;7;ABSTRACT
terror;terreur;B2;5;ABSTRACT
test;test-examen;A1;9;ABSTRACT
textbook;manuel;A2;8;CONCRETE
theater;théâtre;A2;7;CONCRETE
thermometer;thermomètre;A2;6;CONCRETE
thimble;dé à coudre;C1;2;CONCRETE
thistle;chardon;C2;1;CONCRETE
thread;fil;B1;5;CONCRETE
throne;trône;B2;4;CONCRETE
thumb;pouce;A2;7;CONCRETE
thunder;tonnerre;A2;6;ABSTRACT
tide;marée;B2;4;ABSTRACT
tiger;tigre;A1;7;CONCRETE
tile;tuile;B1;5;CONCRETE
timber;bois;B2;5;CONCRETE
time;temps;A1;10;ABSTRACT
tin;étain;B2;4;CONCRETE
tire;pneu;A2;7;CONCRETE
tissue;tissu;A2;7;CONCRETE
toast;toast;A1;7;CONCRETE
tobacco;tabac;A2;7;CONCRETE
toe;orteil;A2;6;CONCRETE
toilet;toilette;A1;8;CONCRETE
tomato;tomate;A1;8;CONCRETE
tongue;langue;A1;8;CONCRETE
tooth;dents;A1;8;CONCRETE
toothbrush;brosse à dents;A1;8;CONCRETE
toothpaste;dentifrice;A1;8;CONCRETE
top;haut-sommet;A1;8;CONCRETE
tornado;tornade;B2;4;CONCRETE
tortoise;tortue;A2;6;CONCRETE
toucan;toucan;B2;3;CONCRETE
tourist;touriste;A1;8;CONCRETE
towel;serviette;A1;8;CONCRETE
tower;tour;A1;8;CONCRETE
town;ville;A1;9;CONCRETE
toy;jouet;A1;8;CONCRETE
tractor;tracteur;A2;6;CONCRETE
traffic;trafic;A2;7;ABSTRACT
trail;piste;B1;5;CONCRETE
train;train;A1;9;CONCRETE
tramp;vagabond;B2;3;CONCRETE
trap;piège;B1;5;CONCRETE
trash;déchets;A2;7;CONCRETE
travel;voyage;A1;9;ABSTRACT
tray;plateau;A2;6;CONCRETE
tree;arbre;A1;10;CONCRETE
trench;tranchée;B2;4;CONCRETE
triangle;triangle;A1;7;CONCRETE
trip;voyage;A1;9;ABSTRACT
trolley;chariot;B2;4;CONCRETE
trouble;problème;A2;8;ABSTRACT
truck;camion;A1;8;CONCRETE
trumpet;trompette;A2;6;CONCRETE
tub;baignoire;A2;6;CONCRETE
tube;tube;A2;6;CONCRETE
tulip;tulipe;B1;5;CONCRETE
tumbleweed;tumbleweed;C2;1;CONCRETE
tuna;thon;A2;7;CONCRETE
tunic;tunique;B2;4;CONCRETE
tunnel;tunnel;A2;7;CONCRETE
turbine;turbine;B2;4;CONCRETE
turkey;dinde;A2;7;CONCRETE
turn;tour;A1;8;ABSTRACT
turtle;tortue;A1;7;CONCRETE
tutor;tuteur;B1;6;CONCRETE
tuxedo;smoking;B2;4;CONCRETE
twig;brindille;B2;3;CONCRETE
twist;tour;B1;6;ABSTRACT
type;type;A2;7;ABSTRACT
typewriter;machine à écrire;B2;3;CONCRETE
typhoon;typhon;B2;3;CONCRETE
