"quack";"cancaner - faire du bruit";"A2";1;"ACTION";"REGULAR"
"quadruple";"quadrupler";"B2";2;"ACTION";"REGULAR"
"quaff";"boire goulûment";"C1";1;"ACTION";"REGULAR"
"qualify";"qualifier - attribuer une qualité";"B1";5;"ACTION";"REGULAR"
"quantify";"quantifier";"C1";3;"ACTION";"REGULAR"
"quantize";"quantifier - rendre quantique";"C2";1;"ACTION";"REGULAR"
"quarantine";"mettre en quarantaine";"B2";4;"ACTION";"REGULAR"
"quarrel";"se disputer - quereller";"A2";6;"ACTION";"IRREGULAR"
"quarter";"quartier - diviser par quatre";"B1";5;"ACTION";"REGULAR"
"quash";"annuler - réprimer";"C1";2;"ACTION";"REGULAR"
"quaver";"trembler - vibrer";"B2";3;"ACTION";"REGULAR"
"queen";"reine - dominer";"A1";7;"STATE";"IRREGULAR"
"quell";"réprimer - calmer";"C1";2;"ACTION";"REGULAR"
"quench";"étancher - éteindre";"B2";4;"ACTION";"REGULAR"
"query";"interroger - questionner";"B1";6;"ACTION";"REGULAR"
"question";"questionner - interroger";"A1";10;"ACTION";"REGULAR"
"queue";"faire la queue";"A2";8;"ACTION";"REGULAR"
"quibble";"chipoter - discuter";"C1";3;"ACTION";"REGULAR"
"quicken";"accélérer - stimuler";"B2";4;"ACTION";"REGULAR"
"quiet";"calmer - apaiser";"A2";7;"ACTION";"REGULAR"
"quill";"plume - écrire";"B2";3;"ACTION";"REGULAR"
"quilt";"quilter - coudre";"B1";4;"ACTION";"REGULAR"
"quintuple";"quintupler";"C2";1;"ACTION";"REGULAR"
"quip";"plaisanter - faire une remarque";"C1";2;"ACTION";"REGULAR"
"quit";"quitter - abandonner";"A2";8;"ACTION";"IRREGULAR"
"quiver";"trembler - frémir";"B2";3;"ACTION";"REGULAR"
"quizz";"interroger - tester";"B1";5;"ACTION";"REGULAR"
"quote";"citer - mentionner";"A2";9;"ACTION";"REGULAR"
